x,y,z 
54.89,1.25,3.11
55.05,1.13,3.1
55.22,1.0,3.09
55.38,0.88,3.09
55.55,0.76,3.08
55.71,0.63,3.07
55.87,0.5,3.06
56.03,0.37,3.05
56.19,0.24,3.04
56.35,0.11,3.03
56.51,-0.02,3.02
56.67,-0.15,3.01
56.83,-0.29,3.0
56.99,-0.42,2.98
57.14,-0.56,2.97
57.3,-0.7,2.96
57.46,-0.84,2.95
57.61,-0.98,2.94
57.77,-1.12,2.93
57.92,-1.26,2.92
58.08,-1.41,2.9
58.23,-1.55,2.89
58.38,-1.7,2.88
58.53,-1.85,2.86
58.68,-1.99,2.85
58.84,-2.14,2.84
58.99,-2.29,2.82
59.14,-2.45,2.81
59.28,-2.6,2.8
59.43,-2.75,2.78
59.58,-2.91,2.77
59.73,-3.07,2.75
59.88,-3.22,2.74
60.02,-3.38,2.73
60.17,-3.54,2.71
60.31,-3.7,2.7
60.46,-3.87,2.68
60.6,-4.03,2.66
60.74,-4.19,2.65
60.89,-4.36,2.63
61.03,-4.53,2.62
61.17,-4.7,2.6
61.31,-4.86,2.58
61.45,-5.03,2.57
61.59,-5.21,2.55
61.73,-5.38,2.53
61.87,-5.55,2.52
62.01,-5.73,2.5
62.15,-5.9,2.48
62.29,-6.08,2.46
62.42,-6.26,2.45
62.56,-6.44,2.43
62.69,-6.62,2.41
62.83,-6.8,2.39
62.96,-6.98,2.37
63.1,-7.16,2.35
63.23,-7.35,2.33
63.36,-7.53,2.31
63.5,-7.72,2.3
63.63,-7.91,2.28
63.76,-8.1,2.26
63.89,-8.29,2.24
64.02,-8.48,2.22
64.15,-8.67,2.2
64.28,-8.86,2.18
64.41,-9.06,2.15
64.54,-9.25,2.13
64.67,-9.45,2.11
64.79,-9.64,2.09
64.92,-9.84,2.07
65.05,-10.04,2.05
65.17,-10.24,2.03
65.3,-10.44,2.01
65.42,-10.64,1.98
65.55,-10.85,1.96
65.67,-11.05,1.94
65.79,-11.26,1.92
65.91,-11.46,1.89
66.04,-11.67,1.87
66.16,-11.88,1.85
66.28,-12.09,1.82
66.4,-12.3,1.8
66.52,-12.51,1.78
66.64,-12.72,1.75
66.76,-12.93,1.73
66.88,-13.15,1.71
67.0,-13.36,1.68
67.11,-13.58,1.66
67.23,-13.79,1.63
67.35,-14.01,1.61
67.47,-14.23,1.58
67.58,-14.45,1.56
67.7,-14.67,1.53
67.81,-14.89,1.51
67.93,-15.12,1.48
68.04,-15.34,1.46
68.15,-15.56,1.43
68.27,-15.79,1.41
68.38,-16.01,1.38
68.49,-16.24,1.35
68.6,-16.47,1.33
68.72,-16.7,1.3
68.83,-16.93,1.28
68.94,-17.16,1.25
69.05,-17.39,1.22
69.16,-17.62,1.19
69.27,-17.85,1.17
69.37,-18.09,1.14
69.48,-18.32,1.11
69.59,-18.56,1.09
69.7,-18.79,1.06
69.81,-19.03,1.03
69.91,-19.27,1.0
70.02,-19.51,0.97
70.12,-19.75,0.95
70.23,-19.99,0.92
70.33,-20.23,0.89
70.44,-20.47,0.86
70.54,-20.71,0.83
70.65,-20.96,0.8
70.75,-21.2,0.77
70.85,-21.45,0.74
70.96,-21.69,0.71
71.06,-21.94,0.69
